,1,2,3,4,5,6,7,8,9,10,11,12
A,0.072,0.072,0.068,0.077,0.071,0.064,0.068,0.069,0.068,0.048,0.047,0.047
B,0.072,0.065,0.067,0.065,0.066,0.079,0.063,0.073,0.064,0.049,0.049,0.049
C,0.073,0.066,0.07,0.072,0.074,0.074,0.076,0.063,0.069,0.047,0.047,0.047
D,0.134,0.12,0.115,0.114,0.109,0.123,0.136,0.115,0.118,0.047,0.047,0.047
E,0.085,0.074,0.076,0.073,0.078,0.074,0.072,0.073,0.074,0.05,0.049,0.049
F,0.163,0.135,0.143,0.147,0.127,0.132,0.152,0.162,0.133,0.049,0.048,0.049
